Area,Bedrooms,Bathrooms,Floors,YearBuilt,Garage,Neighborhood,SalePrice
1476,3,2,3,2005,1,Urban,212800
2745,4,1,2,2021,0,Suburban,256050
4568,1,3,1,2001,1,Suburban,346200
2203,1,3,3,1991,1,Suburban,234950
1371,2,1,2,1951,1,Urban,161350
3909,3,2,2,2008,0,Urban,320350
3089,4,3,3,1952,1,Rural,292550
2049,2,1,3,2021,1,Urban,221250
4007,4,3,1,1961,0,Suburban,326150
4961,1,1,2,1976,1,Rural,328350
3121,3,1,1,1972,0,Rural,240150
3029,1,2,3,1993,1,Suburban,261850
2657,5,1,1,1996,0,Suburban,249150
2856,1,3,2,1964,1,Urban,259500
659,4,2,2,1954,0,Urban,151650
2602,5,3,2,1990,0,Urban,284600
3308,1,3,3,1979,0,Rural,271600
2499,5,3,2,1989,1,Rural,279150
3081,1,1,2,2002,1,Rural,242150
3493,3,1,2,1968,1,Suburban,277550
3434,1,2,3,1974,1,Urban,281400
2811,1,3,3,1993,0,Rural,250950
3295,1,1,1,2006,0,Rural,239050
4828,3,2,1,2007,1,Rural,361000
4828,3,2,2,1952,1,Rural,349500
4088,1,1,3,1987,1,Suburban,298000
3616,4,3,2,1955,1,Urban,324800
4247,3,3,2,1952,0,Suburban,330450
2449,5,2,1,2003,0,Urban,260850
1959,5,2,1,1989,0,Rural,222150
4930,4,3,1,1978,0,Rural,372400
2951,1,3,2,1996,0,Urban,263850
4851,3,3,2,1992,0,Urban,377650
3567,4,1,2,1960,1,Urban,293850
4590,1,3,1,1999,0,Rural,331700
3488,2,1,1,2020,1,Urban,282900
1271,5,3,2,2004,1,Urban,232250
1611,4,3,3,2001,0,Rural,223350
3811,3,2,3,1998,0,Suburban,312450
4906,2,1,1,2019,1,Suburban,348500
2094,2,1,3,2004,1,Suburban,213400
3229,2,2,2,1987,1,Rural,270050
1781,1,1,3,2002,0,Rural,172150
4085,5,3,2,2022,0,Rural,358350
3328,3,2,1,1987,0,Suburban,275000
2873,3,1,1,2019,0,Suburban,246850
841,1,2,1,1951,1,Urban,134850
3318,4,1,2,1994,0,Urban,281600
3425,1,3,3,1959,0,Suburban,276450
1772,1,3,1,1974,0,Urban,193300
1209,1,2,3,1978,0,Suburban,156350
1238,2,3,2,2018,1,Urban,204800
2278,2,1,2,2006,1,Urban,223200
4630,2,3,3,2022,0,Urban,370600
4218,1,1,3,2004,1,Rural,304600
509,2,3,3,2002,0,Suburban,153550
2237,1,1,1,1965,0,Urban,183850
3078,5,3,1,2019,1,Urban,322100
2058,2,1,3,2000,1,Rural,205400
2642,4,2,1,1979,0,Rural,243300
3123,5,1,1,2010,0,Rural,271650
4500,3,3,2,2014,1,Rural,366700
2643,4,1,2,1976,1,Rural,242450
1364,4,1,1,1991,0,Suburban,173000
2300,2,3,3,2007,0,Urban,249600
3952,2,1,3,2009,1,Rural,302800
3216,1,2,1,1972,0,Urban,249900
4802,3,2,2,1984,1,Rural,357800
2309,4,2,2,1955,0,Rural,224450
4841,2,1,3,1985,0,Suburban,335050
2497,4,1,3,2011,1,Suburban,255650
3431,4,3,2,1953,1,Urban,314950
2630,1,3,1,1999,0,Urban,243700
4912,5,2,3,1959,0,Suburban,375800
3192,1,2,3,2019,1,Suburban,277800
3676,4,3,2,1999,1,Rural,331000
3296,5,2,3,1952,1,Suburban,302900
2055,5,1,3,1959,1,Urban,232950
4190,3,3,2,1994,1,Urban,355200
4072,2,3,2,2005,0,Urban,332600
4943,5,3,2,1996,1,Suburban,408450
830,5,1,2,2021,0,Rural,165300
2444,2,1,2,1997,1,Suburban,223800
4458,3,2,1,2006,0,Urban,342200
2184,5,1,3,1989,1,Urban,248400
2936,3,1,2,1956,0,Urban,241100
1470,3,1,3,1993,1,Rural,183900
1246,5,1,1,1954,1,Urban,181000
2684,2,3,2,1962,1,Rural,250300
1884,3,3,2,2011,0,Rural,225000
4530,2,1,2,1961,1,Suburban,317300
1518,4,1,2,1988,1,Rural,189800
3078,5,2,3,2013,1,Rural,305300
4611,1,3,2,1967,1,Suburban,343150
4440,5,3,2,1969,0,Suburban,365200
2524,2,1,3,2002,1,Suburban,234300
2042,5,1,3,1982,1,Suburban,234200
3211,4,3,1,1963,1,Suburban,296950
3546,3,1,2,1994,1,Suburban,288000
1954,1,2,3,1991,1,Urban,212500
3503,2,1,3,2007,1,Urban,289750
2202,2,1,1,2004,1,Urban,213800
4920,1,3,2,1982,1,Rural,358100
4373,5,3,2,2006,1,Rural,377950
621,1,2,2,1955,0,Urban,120050
1976,2,1,1,2016,0,Suburban,191100
765,5,1,3,2022,1,Suburban,182350
527,2,3,3,1987,1,Rural,154950
2624,2,3,3,2000,1,Urban,273700
931,4,1,3,1986,0,Suburban,159850
4277,3,2,1,1965,0,Rural,310850
1585,3,1,3,2008,0,Suburban,189150
2594,1,1,3,2015,1,Suburban,231700
2985,5,3,3,1971,0,Suburban,298050
600,2,2,1,2011,1,Rural,140800
2654,3,3,3,1984,1,Suburban,275400
3548,1,1,1,1971,0,Suburban,246200
1299,5,1,1,1961,1,Suburban,180750
4322,5,2,3,1979,0,Urban,357300
1795,5,2,3,1962,0,Rural,215850
934,1,1,3,1990,0,Rural,126200
4304,2,2,2,1953,1,Suburban,318600
3113,1,3,1,2002,1,Urban,278750
1415,1,2,3,1972,1,Rural,169850
2775,4,1,2,1996,0,Urban,255050
1147,4,1,2,2021,0,Urban,181150
2795,5,3,1,2018,0,Urban,297650
4578,4,3,2,1951,1,Rural,361700
1931,2,3,1,1994,1,Rural,217250
2861,2,2,3,2003,0,Rural,251450
4632,4,3,1,1992,1,Rural,371700
1223,3,1,3,1986,1,Urban,179450
2047,5,3,3,1976,0,Suburban,252650
1479,5,2,1,2009,1,Rural,214150
583,5,2,3,1956,1,Urban,173450
3986,5,1,1,1959,0,Urban,309500
1865,2,1,1,1961,1,Urban,184050
1049,2,2,3,1992,1,Urban,177550
3992,5,1,1,2018,0,Rural,317500
3262,3,3,3,2011,0,Rural,298900
4353,1,3,3,1993,1,Rural,338050
3699,5,3,3,1962,1,Urban,346050
651,2,3,1,1965,0,Rural,134550
3998,2,3,3,1975,1,Urban,334900
2712,1,2,3,1953,1,Suburban,234000
3485,1,3,2,1958,0,Urban,279150
4594,3,1,2,1971,1,Urban,338500
2067,2,1,1,1952,0,Suburban,176450
711,1,2,1,1971,1,Suburban,129350
2679,2,3,2,1968,1,Rural,251850
3723,3,2,3,1991,1,Urban,320950
4691,2,1,1,1957,0,Suburban,309150
2026,4,3,3,2019,0,Suburban,254500
1021,1,2,3,1995,1,Urban,167050
4446,1,1,3,2017,0,Rural,309900
2202,3,2,3,1957,1,Rural,224700
517,3,2,2,2010,1,Urban,161350
3980,3,3,2,1953,0,Rural,312400
2219,1,3,3,1968,0,Urban,223850
3816,1,3,2,1953,0,Urban,294200
4514,4,3,2,1993,1,Rural,371100
1378,1,3,3,2001,1,Suburban,196700
1093,2,2,3,2006,1,Rural,173950
2109,1,2,2,1950,1,Urban,202950
1375,1,3,1,1973,0,Urban,173150
3731,3,3,3,1963,0,Suburban,312950
2948,1,1,3,2012,0,Rural,233500
2636,4,2,2,1972,1,Suburban,260900
2553,2,1,3,1960,1,Suburban,223150
583,4,2,3,1991,1,Rural,163950
1939,5,3,3,2017,0,Urban,264550
3168,2,2,1,1995,0,Rural,254400
2719,5,3,2,1986,0,Suburban,284250
1198,1,2,1,1961,0,Suburban,140700
2320,3,2,1,2000,1,Urban,243500
4914,4,1,3,1999,1,Suburban,372900
1598,2,3,2,1950,1,Suburban,197400
3394,2,2,1,1991,1,Rural,274500
3917,3,2,2,1986,1,Urban,324150
748,4,2,1,1979,0,Suburban,153600
4982,3,2,1,1973,1,Urban,368500
2457,5,3,3,2017,0,Urban,290450
2390,1,2,3,1974,1,Rural,219200
4958,5,2,1,1973,1,Suburban,382300
3867,3,3,3,1985,1,Suburban,336350
2615,2,3,1,2008,0,Rural,245650
3563,4,1,2,1983,1,Suburban,295550
2306,2,3,1,1985,0,Urban,233300
795,3,1,1,1989,1,Suburban,143950
3194,3,3,3,2020,0,Urban,308200
2491,2,3,3,1958,1,Rural,244450
4439,2,1,1,1990,0,Rural,301450
531,2,3,1,2017,1,Rural,154150
4375,4,3,3,1992,0,Urban,368850
4900,1,2,1,1969,0,Urban,333200
1292,1,2,1,2010,1,Rural,165100
4691,3,1,2,2022,1,Urban,358650
1589,4,3,1,1974,1,Urban,224150
729,2,1,2,1968,0,Suburban,119350
3280,1,3,3,1983,1,Urban,291400
4953,4,1,2,1966,1,Suburban,359950
4997,2,3,3,2013,0,Suburban,381250
1289,4,2,1,1987,1,Urban,198050
4694,4,1,3,2019,1,Rural,362900
4866,5,1,1,1990,1,Urban,372800
2298,4,3,2,1971,0,Rural,243700
4480,5,1,1,2015,0,Urban,351000
4957,3,1,3,1980,0,Rural,344350
3740,4,3,1,1978,0,Suburban,317900
4356,1,2,1,1980,0,Rural,299300
813,4,1,2,1973,1,Rural,150050
732,1,1,3,2018,1,Rural,134500
4007,2,1,1,2003,1,Rural,293750
1529,1,2,2,1967,1,Rural,169050
4106,3,1,3,2016,1,Suburban,327600
3211,4,2,3,1966,1,Rural,287850
4839,5,3,1,2017,1,Urban,409550
2788,4,2,1,2011,0,Rural,260200
4499,5,3,1,2007,0,Suburban,374550
3105,5,1,2,1960,0,Suburban,265750
3844,4,3,2,1956,1,Suburban,331500
2622,1,1,2,2004,0,Suburban,214800
2830,2,2,3,1995,0,Urban,257500
4279,1,3,3,1978,1,Urban,339850
4682,1,2,1,1990,0,Rural,318600
1380,3,2,2,1978,0,Rural,174900
3477,2,1,3,1999,0,Suburban,271050
1672,1,1,2,1980,0,Suburban,160100
659,2,3,3,2021,1,Suburban,176750
2993,5,1,1,1955,1,Suburban,263650
2629,4,1,2,1974,0,Suburban,236150
3578,4,3,1,1958,1,Urban,318800
2729,4,3,2,1959,0,Suburban,266650
3417,2,2,1,2001,1,Rural,278650
3513,1,2,3,2009,1,Urban,295850
2049,2,2,3,1989,1,Suburban,221650
3885,4,1,1,1958,0,Rural,284150
2079,1,1,1,1989,0,Rural,173150
3871,3,1,3,2012,0,Urban,309650
2460,4,1,1,1969,0,Rural,216200
4344,1,2,2,1990,0,Urban,316700
2890,1,1,3,1988,1,Rural,233400
1919,5,1,2,1976,0,Rural,206250
4417,3,3,3,1976,0,Urban,356150
4335,3,1,1,1979,0,Rural,302950
4928,5,2,2,2002,0,Urban,389500
4950,1,1,2,1962,0,Rural,313600
4130,3,1,1,1972,0,Rural,290600
662,3,2,2,2014,1,Rural,159800
615,2,1,2,1962,1,Rural,116850
1970,1,2,3,1984,1,Rural,201200
3579,5,1,1,1986,0,Rural,287250
4352,4,1,2,1971,1,Rural,326400
3338,5,2,2,1963,0,Rural,288300
1042,2,2,3,1978,0,Rural,153000
913,2,2,1,1967,1,Urban,153250
1181,4,1,2,1999,1,Urban,186250
1141,1,3,3,1974,1,Rural,171750
4478,3,1,3,1966,0,Suburban,321200
1932,5,2,3,1992,0,Rural,231700
1168,5,2,3,2014,0,Rural,200100
2569,4,1,3,2012,1,Urban,264550
1468,1,2,1,1971,0,Rural,152200
1680,1,2,2,1955,1,Rural,173000
3735,3,3,2,1973,1,Urban,326150
751,5,3,3,2019,0,Rural,195750
4800,5,1,3,1962,1,Urban,371100
3379,4,3,3,1951,0,Rural,296750
4498,5,3,3,1951,1,Rural,372700
1290,1,3,1,1960,1,Rural,165000
1995,1,1,2,1992,1,Urban,194850
4989,3,3,1,1957,0,Urban,369050
3568,4,3,3,1964,1,Suburban,325100
3207,5,3,1,2018,0,Suburban,313250
3077,3,1,2,2020,0,Urban,267350
1735,1,3,3,2000,0,Urban,209250
1558,1,1,2,1966,1,Rural,155200
1670,3,3,3,2022,1,Urban,242600
4118,2,1,2,2005,0,Urban,304900
4159,2,3,2,2001,0,Urban,335750
4155,4,3,3,1979,1,Urban,363950
556,1,1,2,1950,0,Urban,100300
2392,3,3,1,1967,0,Rural,232200
3069,2,1,3,1990,1,Urban,262950
4580,4,2,1,1971,0,Urban,347800
4956,1,3,3,2002,1,Rural,370900
2448,3,2,3,1990,1,Urban,256900
722,4,1,3,1988,0,Rural,145000
2139,5,3,3,1989,1,Rural,266150
4922,5,3,2,2007,0,Suburban,400700
2257,4,3,2,2005,1,Urban,271850
1335,2,1,3,1981,1,Urban,173550
3036,4,1,1,1983,0,Rural,249200
3025,2,3,3,2008,1,Urban,296150
1484,2,1,3,2002,1,Rural,177300
1857,3,1,1,1990,0,Suburban,187350
3560,1,2,3,1998,1,Suburban,289900
4977,3,2,1,1952,0,Rural,341950
1946,1,1,1,1989,1,Urban,186500
1871,1,1,1,1956,0,Rural,152850
3724,3,3,3,2001,1,Rural,329000
2374,1,2,1,2014,0,Urban,220400
2999,2,2,1,1974,1,Urban,259650
3861,5,3,3,1972,1,Urban,357150
1642,2,3,2,1982,0,Suburban,199200
4809,4,3,1,2010,1,Rural,385950
1064,1,1,1,1995,0,Urban,134200
2088,3,3,1,2009,0,Urban,239600
4485,5,3,1,2014,0,Rural,370950
1970,3,2,2,2003,0,Urban,221900
4414,1,1,3,1971,0,Suburban,299500
3613,5,1,2,1973,0,Suburban,295050
4990,1,3,1,1974,1,Rural,354200
4842,1,3,3,1960,1,Urban,362600
3862,1,1,1,2000,1,Rural,275600
2136,4,2,3,1966,1,Rural,234100
3412,5,2,3,2002,1,Urban,328700
1972,4,3,1,1971,1,Urban,242400
1744,2,3,3,1983,1,Rural,214600
4237,4,1,2,2010,0,Rural,322350
2598,2,1,1,1973,1,Urban,224300
3097,5,1,2,2017,1,Urban,297450
3012,3,1,3,2002,1,Rural,263700
758,5,2,2,2022,1,Suburban,192000
2858,2,2,2,1983,0,Rural,240300
3893,5,1,3,1998,1,Rural,326550
4278,5,1,1,1998,0,Rural,325800
3911,4,1,3,1965,1,Urban,317550
1768,1,3,2,1951,1,Rural,191200
1439,1,2,3,1957,0,Rural,156550
2876,1,2,2,1984,1,Rural,241500
4451,4,3,1,2007,0,Suburban,362150
695,4,2,1,1983,0,Suburban,152150
4657,2,1,3,1968,0,Urban,325750
3596,2,3,3,1971,0,Suburban,298600
4135,1,3,3,1956,0,Urban,316050
1061,1,1,3,1990,1,Urban,152550
3949,4,3,3,1963,1,Suburban,343850
3866,5,1,1,1952,1,Suburban,306400
3623,4,1,2,1992,0,Rural,286250
3391,3,2,3,2017,1,Urban,312150
539,1,1,3,1987,0,Urban,115550
2267,4,3,3,2010,1,Rural,268850
3004,2,1,2,1969,0,Urban,238400
1287,4,1,1,2010,0,Urban,179850
2376,3,3,1,1994,1,Rural,249500
4597,3,1,2,1987,0,Suburban,328450
1992,1,1,2,2011,1,Urban,200400
1629,1,1,1,2012,1,Urban,177550
2763,3,2,3,2005,1,Suburban,272150
4521,2,1,1,1986,1,Suburban,319350
4805,5,2,2,2011,0,Urban,386050
2685,2,2,3,1965,0,Urban,241250
2144,1,2,1,1974,1,Rural,196900
4060,1,2,2,1993,0,Suburban,298400
3185,4,1,2,1953,0,Suburban,257650
1912,5,2,3,2013,1,Urban,257000
1721,5,1,1,1961,0,Urban,196850
2749,2,3,1,1955,0,Rural,236450
2739,2,1,1,2009,0,Suburban,227150
4702,4,1,1,1973,0,Urban,339500
4922,1,2,2,1974,1,Urban,350800
1143,2,1,3,2018,1,Rural,165050
4952,4,3,1,1995,1,Urban,398600
3048,3,1,2,1989,1,Suburban,261600
4305,3,2,3,2015,1,Urban,357250
4790,4,3,2,1980,1,Urban,391000
4642,3,1,1,1952,1,Suburban,325200
1885,3,3,3,1990,0,Suburban,228750
3084,3,2,3,1991,0,Suburban,274000
2101,1,1,2,1982,0,Rural,177150
3817,4,1,3,1967,1,Urban,313450
1307,5,1,1,1999,1,Rural,187550
3159,1,2,1,1975,0,Suburban,242950
614,2,1,2,1994,0,Suburban,121400
3227,3,2,2,1982,1,Suburban,283450
2766,3,3,2,1967,0,Suburban,260900
4792,1,1,1,1958,1,Rural,309500
4996,3,1,3,2015,1,Suburban,371800
4401,2,1,3,1959,0,Rural,300250
3228,2,1,3,1984,1,Suburban,264100
4671,3,1,2,1963,1,Rural,329950
1949,5,1,3,2007,0,Urban,232050
4882,4,2,2,1955,0,Suburban,358100
2068,3,3,3,2022,0,Rural,242500
1822,1,2,3,1964,0,Urban,187800
1360,4,3,3,2012,0,Rural,214100
1241,4,1,2,1980,1,Suburban,178550
2230,2,3,3,1977,1,Urban,247100
3433,3,3,2,1976,1,Urban,311950
4018,1,2,3,1967,1,Rural,298500
3667,1,2,2,1962,1,Rural,274450
2418,4,2,1,1962,1,Rural,237000
2718,4,3,1,2021,0,Urban,284700
1840,1,3,1,1971,0,Rural,185800
2014,3,2,2,1978,0,Urban,216600
1911,3,1,2,1968,1,Suburban,198450
3536,3,2,2,1998,0,Rural,288700
4667,4,1,1,1961,0,Rural,324150
1522,5,1,3,1989,1,Rural,205300
2786,5,2,2,1990,0,Rural,268800
3258,3,1,1,2008,0,Urban,267800
4271,4,3,1,2019,0,Urban,361750
1612,4,2,1,1950,0,Suburban,188100
2445,4,2,2,1985,1,Suburban,255250
2058,4,2,1,1975,0,Rural,212900
4379,5,1,3,2009,0,Suburban,349150
1141,5,1,1,2020,0,Suburban,180550
2737,3,2,2,2015,0,Rural,253850
3986,4,3,1,2022,1,Urban,358400
3725,5,2,1,1967,1,Urban,323850
1514,2,3,2,2005,1,Urban,214700
2521,1,3,1,2011,0,Suburban,236850
3176,2,2,2,1968,0,Rural,251700
2040,2,1,2,1981,0,Urban,193800
3436,2,2,2,1970,1,Rural,275300
3606,2,1,1,2004,0,Suburban,269000
1283,2,1,1,1986,1,Rural,152450
1170,5,2,2,1970,0,Suburban,187000
3269,3,2,1,1995,1,Rural,279450
3073,1,2,1,1968,0,Suburban,236550
3084,5,1,1,1966,1,Suburban,271500
1777,3,1,2,1980,0,Rural,180350
3543,2,2,2,2021,1,Urban,305950
3672,2,3,1,1985,1,Rural,301600
4282,5,3,2,2010,0,Suburban,369600
677,5,1,2,1987,0,Urban,157450
775,3,1,2,2022,0,Rural,142850
2859,2,2,1,1985,1,Rural,245950
3981,1,2,3,1976,0,Suburban,294350
3859,5,3,3,2013,1,Urban,369350
1924,3,3,1,1998,1,Urban,238100
4622,1,3,3,2017,1,Suburban,363700
3460,1,2,3,1985,0,Rural,266000
2969,1,3,3,1959,1,Rural,258650
3585,5,1,2,1985,0,Suburban,297250
2872,3,1,1,1971,0,Urban,237400
4568,2,1,2,1984,1,Urban,331100
2090,2,3,3,1988,1,Suburban,238400
4880,3,2,1,1987,0,Urban,357600
1612,5,2,1,1995,0,Urban,216600
1568,5,3,3,2016,0,Suburban,240700
3045,1,1,3,2007,1,Rural,246850
4149,3,1,3,2010,1,Urban,332950
2314,5,1,2,1994,0,Rural,231400
4407,1,3,3,2017,0,Urban,347950
4231,4,2,3,2020,1,Suburban,360050
2692,2,3,3,1980,0,Urban,261100
581,2,2,3,2009,0,Rural,139250
4206,4,1,2,1981,0,Suburban,317100
3676,4,1,3,1963,0,Rural,285200
2325,2,1,3,1961,0,Suburban,202050
581,5,2,1,1994,1,Rural,164750
593,2,3,2,2022,0,Suburban,158750
842,5,2,1,1975,1,Urban,182100
2908,2,1,3,1986,0,Urban,243700
2354,1,3,1,1998,1,Suburban,234600
4499,5,2,3,2007,0,Rural,364550
1589,1,2,2,2012,0,Suburban,180550
1123,1,2,1,1961,0,Urban,141950
1367,1,1,1,1993,0,Rural,138750
2976,1,3,1,1984,1,Urban,266500
3972,2,2,2,1970,1,Suburban,307100
670,4,2,1,1996,1,Urban,169800
2282,3,3,1,2020,1,Urban,262600
1077,1,1,3,1996,0,Suburban,140150
567,2,1,3,1966,1,Rural,120650
2015,3,2,3,1996,1,Rural,227050
500,2,3,1,1963,1,Suburban,141400
2698,1,3,3,1976,1,Urban,260200
1401,2,2,3,1965,1,Rural,177050
1294,3,1,2,2001,0,Rural,162500
2566,4,3,1,1958,1,Urban,268200
2319,1,3,2,1973,1,Rural,225350
870,1,3,1,1989,1,Urban,162700
3038,1,1,2,2008,1,Urban,251800
4407,2,1,1,1961,0,Rural,291150
2554,5,2,3,1970,1,Suburban,271200
3096,1,3,2,1987,1,Rural,268400
4966,1,1,2,1955,0,Suburban,317300
2188,2,3,1,1996,0,Rural,220700
3821,2,2,3,2020,0,Rural,304550
1638,1,2,2,2005,1,Urban,195900
3121,5,1,1,1953,1,Suburban,269450
3228,2,3,3,2003,0,Urban,294800
1665,2,1,3,1971,0,Urban,177050
2008,1,2,2,1957,0,Rural,180000
4341,5,1,2,1954,0,Rural,320750
1023,3,1,1,1985,0,Rural,139150
2758,3,1,3,1966,0,Rural,230200
4839,1,2,1,2002,0,Suburban,335050
738,5,3,3,2020,1,Suburban,210400
1720,5,3,1,1975,0,Urban,231000
1268,2,2,1,1989,0,Rural,157600
734,1,1,3,1999,0,Suburban,123900
3260,3,3,2,1990,0,Rural,287500
2019,2,1,1,1950,0,Urban,178450
2403,1,2,2,2011,1,Urban,235950
2734,2,3,1,1963,0,Suburban,243100
1435,1,1,3,1982,1,Urban,168850
1768,2,1,3,1966,0,Rural,170700
1318,2,1,2,1976,0,Rural,146200
4067,5,2,3,1959,0,Suburban,333550
4617,4,3,1,2017,1,Urban,388450
2615,1,1,1,1982,1,Rural,207850
2939,5,1,1,1984,1,Suburban,269650
3887,1,2,2,1982,0,Suburban,286450
1588,5,3,3,2008,0,Suburban,239300
2327,3,2,3,1963,0,Suburban,227750
3088,5,1,1,2014,1,Rural,281100
3115,3,2,3,1983,0,Urban,278150
2373,3,3,3,1962,0,Urban,249750
4807,2,3,3,2001,1,Rural,373150
2273,4,3,2,1992,0,Suburban,253750
699,1,3,2,1974,1,Rural,144650
677,3,2,1,1971,1,Suburban,147650
1430,1,3,1,2020,0,Rural,180000
4236,2,2,3,1989,0,Suburban,321000
2536,4,2,2,1966,0,Urban,249100
1985,2,2,2,2008,0,Rural,204150
2591,4,1,2,1981,1,Rural,241350
4763,3,1,1,2021,0,Suburban,341950
2884,5,2,3,1987,1,Suburban,292800
4588,4,1,1,1982,0,Suburban,331500
2415,2,3,1,2021,1,Rural,249550
515,1,1,3,2012,0,Rural,111850
3434,3,3,1,2008,1,Urban,316600
1336,4,1,1,2014,0,Urban,183500
2657,3,3,1,2014,1,Urban,279550
2076,3,2,1,2003,0,Urban,222200
805,4,2,2,1982,1,Rural,167350
2553,1,1,3,1996,0,Rural,208950
3390,3,2,3,2010,1,Urban,310000
3844,3,3,2,2007,1,Suburban,336800
4956,2,1,2,1976,0,Rural,328100
1708,3,3,3,1961,1,Rural,216200
2358,3,1,3,1998,1,Rural,229800
3203,3,2,1,1982,1,Rural,272250
2471,3,1,2,1955,0,Rural,207550
1613,1,3,3,1968,1,Suburban,198550
1483,5,1,3,2001,0,Suburban,201950
3810,5,1,2,1998,1,Suburban,322400
4501,5,3,1,2015,0,Urban,382050
3271,3,3,1,1974,1,Urban,298250
3652,5,3,3,1954,1,Urban,341300
2662,1,2,1,1989,0,Suburban,222300
2627,2,3,2,1987,0,Suburban,249950
4139,4,1,2,2013,0,Rural,318350
4774,3,1,2,2019,1,Suburban,356900
1060,3,3,3,1970,0,Urban,186500
2309,3,2,3,2018,0,Suburban,243350
4887,2,2,1,1959,1,Rural,339550
3432,2,3,1,2019,1,Suburban,304800
790,5,1,3,1957,0,Suburban,154100
2409,4,1,3,1968,0,Suburban,228350
1928,1,1,3,2001,1,Suburban,194200
1447,4,2,2,1975,0,Urban,197350
3027,1,2,3,1986,1,Suburban,259650
1848,4,2,3,2009,1,Urban,242600
880,4,1,1,2008,0,Rural,148900
2204,4,1,1,1953,1,Urban,218600
809,2,3,1,2005,0,Urban,164450
3914,2,1,3,1981,0,Urban,292500
1998,4,3,2,1996,1,Suburban,251200
3394,3,2,2,2004,1,Urban,303400
1160,4,1,2,1969,0,Urban,166200
3947,5,1,2,1998,0,Suburban,319250
2773,5,1,1,1962,0,Suburban,244750
1997,3,3,2,1964,0,Rural,216550
2572,4,1,3,1975,0,Urban,243600
3936,3,2,3,1963,1,Suburban,318200
2642,2,3,3,1987,0,Rural,250700
2105,3,3,3,2000,0,Urban,247750
1931,3,3,3,1992,0,Rural,226650
2450,5,3,2,2010,0,Suburban,278000
4422,5,1,1,1995,0,Suburban,337100
958,1,1,1,2013,1,Rural,134300
3448,1,3,2,2003,0,Rural,280800
837,2,2,2,1973,1,Rural,146250
4443,3,1,3,1976,0,Rural,317450
2513,5,2,2,1999,0,Urban,267850
4520,3,3,1,1968,0,Urban,348900
844,1,3,1,2012,1,Suburban,163300
1442,3,1,3,2016,0,Suburban,184400
845,3,2,2,1982,0,Rural,149350
4394,5,1,3,1971,0,Urban,343500
3819,3,3,3,1957,1,Suburban,325550
4195,5,1,1,1992,0,Urban,329850
824,1,2,3,1958,1,Urban,146100
2638,4,2,1,1960,1,Urban,257400
4889,1,3,2,1973,1,Urban,363850
4112,3,1,2,2005,1,Rural,314600
1023,1,1,1,2009,1,Urban,146350
3397,4,2,1,1953,1,Rural,283250
4240,3,1,1,2005,1,Rural,316000
758,3,1,3,2007,0,Suburban,147500
1610,3,2,3,1955,1,Urban,204500
1320,5,1,1,1989,1,Rural,185200
3288,3,2,1,2009,1,Suburban,289600
2063,3,2,1,2005,0,Urban,222150
1707,3,1,3,1971,1,Urban,199150
808,3,2,2,2016,1,Rural,167700
2339,3,3,2,1985,0,Suburban,244950
3852,3,2,2,2004,0,Urban,316300
1883,3,2,1,1992,1,Suburban,214250
2806,2,1,1,2009,0,Rural,225500
1680,2,2,1,1972,0,Urban,183100
2972,1,2,1,1986,1,Suburban,246900
3186,1,2,1,1952,0,Urban,242400
3467,3,2,3,1970,0,Urban,291850
4945,3,2,1,2003,1,Rural,365650
1460,3,3,3,1963,0,Suburban,199400
3956,1,2,1,2002,0,Suburban,290900
937,5,1,1,1997,1,Rural,168450
955,1,2,2,1968,0,Rural,130650
4317,3,3,2,2013,0,Suburban,352250
2069,4,3,1,1990,1,Suburban,247950
1603,2,3,3,2015,0,Urban,217150
2118,4,3,2,1955,0,Rural,229900
4112,1,1,3,1967,0,Urban,288200
2012,5,1,3,2007,0,Suburban,230200
891,4,2,2,1989,0,Urban,173750
3121,4,3,2,1951,1,Rural,288850
1420,2,1,3,1963,1,Urban,172400
2957,1,1,3,2014,0,Urban,244550
4100,5,2,2,2019,0,Suburban,348200
2288,1,2,2,1958,1,Urban,214300
760,1,1,3,1979,1,Suburban,129200
2513,5,2,3,2011,0,Suburban,271450
1835,2,3,1,1953,0,Rural,190150
834,3,2,2,1999,0,Rural,153900
3279,4,3,2,2003,0,Urban,312350
1303,1,3,3,1978,1,Urban,191050
2937,5,3,1,1996,0,Suburban,293150
3307,3,3,2,2002,0,Suburban,298450
1440,1,3,1,2022,0,Urban,191100
3663,4,2,1,1970,1,Rural,301650
1402,4,1,3,2011,0,Urban,195900
3932,1,1,1,2004,0,Suburban,275300
1768,1,1,3,2002,0,Suburban,176500
523,3,2,1,1999,0,Rural,133350
3248,4,1,1,1985,1,Urban,280400
2950,5,3,1,1979,0,Urban,293700
1896,1,3,1,1996,1,Rural,206100
3857,5,1,1,1980,1,Suburban,314350
4404,3,1,1,1955,0,Rural,299200
2988,1,1,3,2017,1,Suburban,252000
4166,2,3,2,1999,0,Suburban,330500
2257,2,3,3,2020,1,Suburban,256350
2378,5,2,2,1964,0,Urban,250600
3032,1,2,1,1958,0,Urban,236500
4014,5,2,2,1952,0,Urban,328800
4273,4,3,2,2010,1,Urban,374150
2578,3,3,2,1952,0,Suburban,247000
2557,1,2,3,1958,0,Urban,222750
1177,2,2,2,1986,0,Urban,167150
3474,5,2,2,1977,0,Rural,299300
784,2,2,3,2016,1,Rural,161500
