LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,SalePrice
17329,1915,1705,1342,1,5,6,372653
15917,1953,1016,1061,2,4,6,278272
13785,1924,1156,565,3,5,7,226974
10548,2011,1089,1269,3,4,4,278086
6826,1917,730,1163,2,1,6,225666
16421,1922,1308,1281,3,3,5,314102
16479,2016,1871,616,3,4,8,335660
17265,1984,978,380,1,4,6,188529
18981,1910,1732,847,2,1,3,317420
12629,1938,1174,1208,3,1,5,274133
13325,2004,777,302,2,2,10,156831
8138,1967,552,755,1,1,5,140797
17111,1924,1533,163,1,5,9,248887
18235,1962,1247,1226,1,4,4,288904
12693,1995,963,1431,3,3,7,296358
13264,1929,1253,1233,1,1,9,284853
17686,1944,1082,100,2,4,3,159678
18716,2022,657,1469,1,3,3,242626
12842,1989,518,897,3,2,10,191733
11721,2020,554,782,1,5,4,173576
12002,1960,1220,367,3,2,6,223134
9225,1999,1544,1262,2,1,5,344875
7978,1950,1805,726,1,5,7,329840
12373,1997,1260,1314,1,2,4,302771
10907,1908,1518,371,2,4,8,250928
11097,1975,1940,861,2,1,10,349135
17553,1901,1307,1454,3,2,7,336819
10656,2001,1222,279,1,5,9,215982
15177,1904,784,1490,1,5,7,268604
13984,1961,1010,315,1,3,8,181324
19588,1968,1521,1100,1,5,11,343218
18600,1951,1919,815,2,5,3,352404
9259,1985,619,150,1,1,11,115122
13286,1904,596,1419,1,5,5,237879
10901,1958,619,1008,1,3,5,200264
14325,1967,1676,1320,3,5,6,374411
19671,1908,1768,668,3,3,10,304777
9917,1992,892,406,3,4,3,197988
13429,1921,1666,286,2,3,6,252827
19716,1926,1293,916,2,1,9,273036
16138,1909,719,1479,2,2,5,247626
7530,1979,1338,491,1,2,9,248793
6960,2005,659,1032,1,4,7,206356
12045,2005,1599,1155,2,1,11,346526
6048,1960,1110,1100,3,4,10,296502
10772,1950,1138,737,1,4,5,230882
7529,1909,1555,130,3,5,6,233961
7964,1905,1276,996,1,5,9,293257
12137,1961,833,1435,1,1,4,239529
5963,2012,1963,1113,3,2,8,390539
5536,1904,1391,497,2,3,11,255061
18891,2021,1439,621,3,5,11,279453
12340,1969,851,888,2,1,8,214407
19267,1962,1862,353,2,1,8,285426
12179,2022,1425,270,1,2,8,220861
12967,1955,1923,1415,1,1,8,410131
17415,1958,895,431,1,1,5,156992
16871,1962,1725,738,2,2,6,299299
17379,2010,1029,471,2,5,8,211817
16916,1988,1616,1331,3,2,3,365225
13734,1958,857,507,1,4,3,172768
5845,1950,1919,54,1,5,9,264203
16795,1949,1327,36,2,4,3,191619
10777,1903,559,899,1,1,7,185685
8036,2003,976,54,2,4,10,170661
10947,2022,1111,523,3,2,8,209240
7494,1947,500,914,3,2,5,188535
17677,1931,810,462,1,3,4,160936
7719,2019,667,696,3,1,4,161172
6884,1950,691,715,1,2,6,186816
17330,1951,1557,1234,1,5,11,336141
9349,1998,1557,1249,2,2,11,336051
16393,1973,1940,1030,2,5,3,376990
10179,1933,1207,731,1,1,7,225361
15902,1935,1681,988,3,3,11,340066
11610,1969,865,211,3,3,6,151639
11430,1942,1863,1212,1,4,9,377585
12154,2009,1357,1098,1,2,8,292365
18828,1915,1858,753,3,1,6,318085
15145,1958,826,1137,3,4,9,262220
11488,1952,613,1174,2,1,9,228362
9737,1918,1296,435,2,1,4,211300
11525,1997,1418,83,3,4,9,227081
8850,1988,1941,1235,2,1,11,416689
5689,1994,1991,778,2,4,8,354508
18564,2012,1666,833,1,2,8,310185
15142,1940,1108,460,2,4,8,216106
10175,1980,808,176,2,2,4,138957
18774,1946,900,311,1,3,8,168534
13648,1993,1843,1182,3,4,8,364350
10078,2002,711,185,2,3,11,147768
15322,1953,816,1494,2,4,4,270731
17168,1954,684,1332,3,1,11,244365
18410,1994,1728,245,2,3,7,250766
17436,1918,1887,1016,3,5,11,368599
10448,1961,1739,383,1,5,4,291655
6179,1998,745,1065,3,5,7,233748
17477,1992,738,284,3,3,4,143718
16757,1958,1914,979,3,2,7,371975
14074,1964,1019,987,1,4,9,264380
11406,1967,776,299,3,1,9,153013
13591,1927,1505,900,3,1,9,296501
11907,1917,701,1459,1,3,7,272886
13800,1925,713,1392,2,5,9,272695
19083,2003,1105,873,2,1,8,242799
6638,1918,977,485,3,1,9,216240
10671,1954,1007,435,1,2,7,185181
11928,2018,1598,805,1,1,4,281029
15340,1956,1168,1451,3,1,11,314358
6382,1905,1164,180,3,4,4,179355
6403,1900,641,882,2,1,5,189654
14011,1907,821,876,2,4,11,197427
8292,1996,960,693,3,5,4,209978
14011,1950,1206,339,1,2,10,209008
5419,2006,1169,490,3,1,5,228913
17411,1984,1669,494,1,2,8,282644
9517,1987,553,729,2,2,11,189579
8302,1924,1879,1186,3,2,5,373686
12857,1946,776,455,1,3,11,195033
14700,1954,899,1115,2,4,9,242724
12870,1963,1167,104,3,2,7,177815
10693,2020,1015,718,3,5,10,251726
5767,2006,1834,438,2,1,8,294338
7044,1982,1794,1351,3,2,9,380697
19818,1992,1075,650,2,2,5,222809
19854,2016,1972,508,1,1,8,305248
19490,1909,611,250,3,5,5,133644
15331,1955,738,964,2,2,9,237800
16221,1911,1667,1214,2,2,8,363494
6549,1932,1897,46,1,5,10,278479
19790,2019,1543,878,3,2,10,319523
14956,1970,1812,1274,2,5,8,374591
11140,1916,696,1017,2,2,4,199562
15837,1960,881,774,2,1,8,218199
8716,2021,663,884,3,5,3,213390
17797,1909,1105,63,3,1,8,182645
18494,1930,1772,319,1,1,8,263813
9481,1959,1591,859,1,2,8,294946
18885,1969,1354,779,1,5,11,286601
12898,1916,1544,1315,3,3,6,338258
11548,1949,1330,28,2,1,9,188665
7293,1936,1096,436,3,1,5,214426
9837,1981,1913,762,3,1,10,338050
12758,1961,1035,735,3,2,4,233902
15900,1989,610,1070,1,2,4,178335
11793,2012,1448,1440,2,1,7,342579
12638,2017,1362,450,3,2,3,224104
12993,1979,1094,632,1,2,3,191785
11007,1971,1521,1097,3,2,5,316249
10542,1987,959,1076,2,4,8,259495
14092,1976,1601,232,1,5,8,247717
19400,1928,933,199,3,2,10,174246
16276,1931,1903,673,1,4,9,335667
11356,1987,1963,548,2,4,3,321992
15201,1979,1387,936,2,2,3,281452
13433,1910,1282,96,1,4,6,195651
19828,1995,1862,48,3,3,3,243730
12380,1905,1487,895,2,4,3,283142
7385,2022,1947,521,2,5,3,305639
19308,1934,668,39,3,4,5,121174
9268,1932,1208,913,1,2,4,263566
5671,1917,1464,1176,1,1,10,337787
5163,1936,1785,1129,3,3,9,373218
13656,1912,1226,552,2,4,10,227973
16234,1973,728,675,2,3,6,189019
9592,2000,1684,769,3,5,11,338758
9795,1989,926,210,3,4,7,167860
15634,2009,621,1225,1,4,9,228849
9798,1980,648,432,1,3,6,156045
11036,1963,1351,706,3,4,3,264183
7355,1900,1204,564,2,4,10,243875
10887,1962,610,146,1,1,11,114111
17470,1988,1744,281,3,3,11,294454
17916,1933,563,1333,2,2,10,221726
12961,2002,1137,754,1,2,3,226183
15749,1909,1877,1074,3,5,5,367810
10827,1983,1997,494,3,1,7,315272
13737,1906,1408,408,2,3,9,235167
18875,1955,512,272,2,3,10,140847
9719,1979,1433,457,3,1,3,238048
17027,1936,1676,1143,2,1,7,335192
5593,1928,738,45,3,5,5,140993
9839,1911,1713,1266,2,2,9,366086
12394,1916,1162,310,2,3,8,188189
19056,1947,1609,561,1,1,3,243906
16996,1983,1544,330,1,3,4,238865
14651,1925,1193,10,2,2,7,179481
19236,2011,1842,907,3,3,7,348807
8493,1982,1681,1447,2,3,3,357125
15793,2021,1470,1071,1,1,6,312804
11164,2010,1463,1400,3,1,11,347616
19889,1911,575,7,2,1,11,126021
15636,1920,828,983,2,2,7,226017
7672,1941,1939,1393,2,4,9,416928
9200,1960,1726,1463,2,2,4,388586
19527,1957,1752,565,1,1,3,283439
5016,1953,651,272,1,5,4,132711
8191,1933,571,940,1,3,6,195831
5392,1906,724,900,1,3,8,203860
13616,2008,972,130,3,3,5,165610
11272,1934,859,723,3,3,4,205504
5571,1914,1039,633,3,5,9,236341
8631,1964,1310,113,2,1,10,209842
11172,1989,1108,531,3,4,11,222968
14312,1998,1569,1362,1,3,10,353864
12177,1924,500,1044,1,4,4,184344
13433,2005,1177,32,2,2,5,180247
8897,1958,1768,132,3,2,3,251043
17287,2022,1742,919,2,3,3,316661
13123,1978,790,974,2,1,8,201459
7279,1985,1981,25,3,5,5,291636
13980,2022,703,1387,2,3,6,253899
12451,1905,1725,600,3,2,10,306045
13906,1951,1065,1115,3,2,7,273394
18046,1978,981,544,2,4,8,221261
16041,1987,1010,1261,1,5,11,293650
5775,1920,1423,17,3,3,4,185591
17218,1970,777,1297,1,1,5,246852
11869,2020,1504,933,1,4,7,286963
7247,1992,515,288,3,5,4,135738
12088,1995,855,1050,1,4,10,239973
5078,1931,855,816,2,1,4,212552
13080,1952,1329,1457,2,2,6,341211
12099,1958,1098,107,1,3,5,160177
8926,1968,1601,972,2,3,6,320160
14047,1961,1427,947,3,1,6,298224
12340,1903,1590,737,3,3,8,297258
19802,1985,1358,323,1,3,11,223936
19916,1917,713,866,2,4,5,208681
18727,1998,948,734,1,1,3,213963
12083,1980,1464,792,2,4,10,285226
19784,2013,1956,1127,3,3,9,394519
11230,2013,1638,1355,2,5,4,362697
15340,1955,1286,1385,2,5,7,338583
14223,1923,1943,288,1,4,6,295565
9940,1965,998,1467,3,2,11,312550
8271,1912,1209,1060,2,2,6,264702
16768,1961,879,1371,3,1,7,293289
17374,1953,1666,891,2,5,10,333037
19378,1914,1239,42,3,5,5,190098
8456,1968,1131,1149,2,4,8,295472
12788,1902,1547,8,3,3,8,208016
16698,1936,1038,1154,2,1,9,278772
13599,1936,1444,1348,3,4,11,366852
12650,2000,1598,183,2,2,5,223767
7711,1902,1252,1305,2,3,7,317890
16280,1962,1034,894,3,1,7,244740
6668,1934,1172,1076,1,3,7,280084
5147,1951,1564,869,2,2,8,291610
11420,1986,1067,532,2,4,3,221731
17519,1927,1936,1400,1,4,11,418321
17089,1993,914,1318,2,5,5,266052
15142,1917,948,1231,3,4,8,274878
5365,2021,1109,999,1,5,6,275208
14866,2015,1157,662,2,4,9,248701
9531,1935,935,953,3,1,10,238992
17686,1932,1204,68,3,2,6,186422
10330,1963,738,1460,1,3,8,260632
10510,1925,1565,300,1,2,9,234664
15738,1947,1233,26,1,2,9,177236
19875,1939,1299,929,3,5,11,305568
13754,1916,509,653,2,5,10,164765
16754,1939,1246,552,3,1,5,237948
15681,1906,1788,105,3,3,6,270305
18572,1956,1968,585,1,4,11,341077
13964,1907,638,571,2,4,9,178365
11493,2016,1230,809,3,2,9,255352
15229,1955,695,633,1,1,3,158088
16615,1930,1597,1034,1,3,4,319030
15759,1958,1748,930,2,4,3,330250
10439,1957,1625,658,2,2,6,296686
19473,1911,763,1239,1,1,6,234501
14765,1947,1444,885,2,3,7,305214
16886,1930,1419,320,2,2,7,241178
18279,2007,660,459,3,2,3,147188
11511,1982,1756,578,2,1,9,287929
16483,1962,990,876,1,1,8,238880
12504,1973,1269,753,2,1,10,273248
6246,1938,810,159,3,1,6,139700
16911,1975,726,463,2,3,3,162670
8839,1919,772,997,3,1,5,229723
13551,2000,1437,1296,2,1,11,322643
18208,1947,816,240,2,1,9,168147
7376,2004,1609,935,1,3,4,305079
8009,1970,790,963,1,4,5,233896
19798,2015,1992,958,2,2,4,366432
16185,1953,1228,864,2,5,6,274216
14154,2021,1927,1190,3,2,4,396185
16824,1977,1950,649,3,3,6,338310
6827,1974,874,326,1,1,9,176150
11979,1970,1066,864,2,3,10,261024
14805,1928,1367,528,2,4,8,250315
14832,1973,1254,1296,3,5,11,321684
15408,1992,751,878,2,4,8,229690
17504,1972,806,1399,2,1,5,260883
13569,1999,1953,1398,2,3,3,405814
17406,1947,1174,333,3,3,11,224803
9285,1973,1367,1026,3,1,5,299774
11910,1982,763,1266,3,1,3,249674
13561,1955,567,1074,2,5,4,207957
19089,1994,1630,881,3,4,5,335657
7196,1916,1923,349,1,1,10,305857
8747,1908,1722,173,1,1,10,247542
13843,2008,1715,115,3,4,4,247825
10978,1996,1013,360,3,1,8,180758
10607,1933,1268,1378,2,5,4,341602
5769,1944,941,75,3,5,9,165440
15613,1987,500,755,3,4,5,177766
5780,1908,857,1104,1,2,10,239952
14908,1906,1638,1252,1,5,5,355896
11303,1915,1402,71,1,3,8,213531
19686,1918,1720,1426,1,3,3,381192
8983,2002,773,1241,3,2,10,267965
14503,1905,1355,451,1,5,9,231362
16551,2013,1517,910,2,1,3,299474
18537,2014,1683,366,2,2,9,291523
13714,1910,672,825,3,1,7,192137
5521,1975,1981,669,2,3,4,344420
18070,1960,1084,1335,1,2,3,270927
15512,2021,1956,1321,1,5,4,400425
14127,1941,1428,1047,2,3,8,311284
12569,1912,980,109,3,5,4,147567
15422,1911,954,51,1,1,8,138233
17232,1984,695,1313,1,5,10,265068
10784,1973,1295,1467,2,2,10,343729
9583,1919,1098,466,3,1,8,211619
10946,1949,1832,1282,3,2,7,391119
9941,1935,1055,1347,2,1,6,271524
11267,1991,1347,817,1,2,8,268405
12128,1987,938,1361,2,3,7,272912
16889,1968,1149,786,2,2,6,226869
16029,1936,858,555,2,3,8,202361
17275,1911,1559,928,1,4,11,323464
7461,2021,1557,1445,1,5,11,370440
19291,1998,1611,258,2,1,10,247193
19036,1939,1157,64,3,5,3,167147
16435,1953,515,162,2,3,11,117456
16551,1901,1244,1187,1,3,7,302145
5685,1949,920,38,3,3,5,142366
7160,1940,1052,664,3,2,10,245417
12031,1944,1266,319,1,5,10,208994
17180,2002,1292,359,1,3,11,206818
17258,2005,1649,268,2,4,4,255408
19457,1908,1531,323,1,3,6,248496
14759,1961,1995,325,3,5,4,315064
10341,1985,1991,256,2,3,8,286406
5038,1946,1379,199,2,3,3,208178
15736,1904,1351,1461,3,1,5,339221
9875,1975,1009,609,1,3,4,212176
6256,1900,1925,1127,2,5,9,368068
16182,1943,1699,1395,3,1,10,381163
12697,1921,1465,904,3,1,4,295244
7196,1937,1413,163,3,3,11,221375
16660,2014,1890,1136,1,3,3,362824
12165,1918,517,614,1,4,4,140770
15900,1979,555,105,1,5,5,114168
19215,1930,1418,698,1,5,4,280050
5301,2014,1558,363,3,2,3,240331
12527,1966,1401,1044,2,2,10,298624
11381,1986,1129,659,3,5,3,248993
5646,1941,1293,1152,2,3,7,307183
17950,2022,846,698,2,1,8,204865
19571,1981,1555,1222,2,4,9,337183
14951,1925,1407,746,1,3,5,271626
19538,1912,1523,960,3,1,9,315377
17543,1957,1656,1443,2,5,10,397136
13789,1917,1075,1249,3,3,5,294471
13853,1966,698,929,1,4,7,205759
9330,2021,1779,208,2,2,3,249607
14560,1986,1865,1268,1,1,11,388277
15773,1902,1754,1311,1,3,10,380159
12003,1954,800,1089,3,4,5,225937
17060,1988,1516,1176,2,3,6,321980
8537,1990,525,490,1,5,3,146665
18057,1957,1997,1458,3,1,3,391266
19876,2007,1910,702,2,5,8,331141
17500,1962,1808,1241,2,5,8,392773
9558,1990,949,1452,1,2,11,282912
11579,1951,819,501,1,5,7,165632
13474,2002,655,665,1,4,5,164654
16870,1988,970,220,1,1,8,155302
14678,1923,919,434,2,2,10,184142
9082,1971,1636,279,1,3,9,252828
18718,1908,1150,1115,1,5,5,283579
9183,2009,1945,523,1,3,3,319165
18355,1936,1385,1162,2,2,6,298635
13652,1993,1429,666,3,3,8,267811
15517,2016,1334,1046,3,4,6,312542
8754,1982,1375,1440,2,2,7,354788
15660,1952,1441,731,3,1,9,267791
6724,1979,1493,347,2,1,7,242362
6376,1923,1808,1260,1,1,7,370151
15935,2007,1071,764,3,1,4,229734
13706,1920,553,933,2,2,3,164934
13894,1999,1104,182,2,2,6,194501
6653,1939,824,507,1,2,10,156132
7066,2002,1469,197,2,5,5,208461
5022,2010,1981,1146,3,2,8,392475
7460,1961,1384,380,1,2,4,219350
18341,1969,764,824,2,2,11,220243
10926,1968,881,1029,1,1,11,221666
11251,1913,1736,1327,2,4,6,377143
14496,2016,832,191,3,1,10,175315
12295,2008,1533,1399,3,4,4,352255
8300,1941,1881,524,1,4,4,310333
18422,1949,702,1059,2,4,8,234214
11279,1960,557,1093,1,1,4,189752
13553,1903,1746,288,1,5,3,281329
12353,1971,1892,104,3,3,4,269732
8727,1987,1941,312,1,5,4,286596
11272,1974,1046,1078,2,1,7,261034
10995,1916,1370,1130,3,4,8,296663
14476,2013,602,306,2,3,5,112806
5514,1984,1684,820,1,5,10,323344
5448,1956,1723,35,3,2,4,244677
11019,1989,1683,1156,2,5,5,341468
18794,2006,1364,886,2,1,6,258877
10343,1947,1659,1048,1,3,7,325462
15047,1943,897,1060,2,2,7,241697
18161,1944,891,1042,1,3,8,260451
13033,1990,605,34,1,3,6,106520
16754,1979,1577,1386,1,5,9,372061
7520,2018,1800,1441,1,4,10,413542
8081,1989,610,1453,3,5,6,280298
6428,2016,723,466,2,2,11,179932
8967,1932,574,896,2,1,8,196201
11445,1930,1005,198,3,5,10,183125
19566,2011,1537,767,1,4,11,297089
19042,1946,1269,1234,1,4,3,291493
14114,1905,981,240,1,5,7,182775
16329,2007,1712,1193,1,2,9,358860
7159,1971,863,293,3,4,4,180489
10132,1970,738,921,2,4,9,230385
18704,1933,1924,1338,1,2,9,389758
7547,2007,1345,1150,1,2,5,301839
7979,1952,1484,467,1,2,11,276595
19933,1913,1827,366,2,2,9,288644
15473,1915,1614,1044,2,5,7,338193
7649,1942,891,315,3,5,9,183981
13505,2015,1707,757,2,3,9,319505
15805,1972,1540,1113,2,3,8,333919
8083,1973,1464,1427,1,3,6,354219
15448,1980,511,450,2,4,10,142868
19285,1911,1689,777,1,2,4,302025
6037,1969,645,907,3,5,10,205788
18944,1918,1805,1173,1,5,7,356277
8489,2006,668,445,3,2,9,173573
12604,1940,1346,956,2,3,5,271785
12544,1952,669,79,3,4,9,138471
7634,1928,1264,1040,1,5,11,289072
8983,1969,1869,137,2,1,9,256217
6778,1958,998,651,2,4,3,217305
12902,1988,1983,850,1,4,11,385304
10110,2020,1820,551,2,3,9,315076
10189,1963,1665,73,1,2,4,221974
17087,1923,1396,1097,3,1,7,302681
12378,1988,1576,49,3,3,4,217171
6124,1915,617,1033,2,2,9,209176
5697,1951,864,1126,1,1,11,255062
7179,1979,635,387,1,5,6,148094
14596,1905,1937,384,3,1,5,297020
10251,1936,1600,298,1,3,8,235355
14235,1984,1056,338,2,1,10,180553
6929,1903,517,1412,2,1,10,225633
19871,1997,902,473,3,1,10,189970
6013,1991,704,615,1,5,7,179047
5226,1937,998,961,2,2,8,264676
12321,1940,823,791,2,1,4,201089
6828,1991,1094,1165,2,4,8,281764
12909,1980,1061,1193,1,3,7,282937
10588,1913,1804,12,3,4,5,264258
18109,1970,1689,448,3,2,10,289709
7023,1985,1766,173,2,3,6,258530
9966,1950,978,1155,3,2,4,275959
15644,1964,663,594,2,3,5,170087
19537,1992,823,931,2,4,4,209632
15277,1951,1050,268,1,4,4,174310
10891,1994,1330,1274,2,5,5,325902
17475,1929,1139,1393,2,2,9,306043
6080,1956,1133,617,1,4,3,226125
10036,1978,1258,772,1,3,8,243446
15512,1981,707,864,3,1,3,203964
16382,1998,814,525,1,1,5,164245
15822,2013,803,887,2,1,6,204385
7563,1929,1400,671,1,5,10,283403
8292,1997,738,177,1,4,4,130724
17813,1941,1303,258,3,2,9,215397
8586,1910,1747,259,1,2,5,255099
9431,1926,1611,1158,2,5,3,338655
11841,1923,1952,1484,2,3,8,412550
18366,1998,1743,642,2,4,4,306619
11643,1938,774,80,1,4,5,127081
16139,1971,1453,1390,1,3,8,351656
8959,2014,1589,1082,2,3,5,311631
16005,1917,1946,1097,1,4,7,374767
15775,1976,754,1262,3,4,5,267072
5161,1944,624,128,3,1,9,118389
5593,1987,1669,411,3,2,9,278194
19226,2014,1114,314,3,1,3,202687
19494,1986,884,1397,2,1,8,251444
16451,1911,946,1460,1,2,5,296233
17347,1948,886,1161,3,5,9,275688
16154,1993,882,454,2,5,3,182243
17080,1930,1800,614,3,5,5,326948
8390,1991,1905,898,1,5,4,343523
10997,1921,623,902,3,3,10,198340
11354,1943,1790,1032,3,1,10,352554
17693,1991,1634,231,3,3,11,261442
5663,1963,1904,610,3,3,11,331165
14324,1976,1681,729,1,2,4,296267
18387,1924,1227,964,2,5,9,287370
5541,2007,1395,1420,3,4,9,356525
10433,1950,1641,881,2,5,6,336448
10093,2009,827,317,1,1,8,152067
18428,1906,1193,521,1,3,3,229328
16166,2008,1591,1110,3,1,8,348722
5867,1905,1957,715,2,3,3,310683
15258,1923,858,1341,3,3,7,263208
13623,1918,1502,1356,1,3,6,329295
18027,1982,1296,1383,3,4,8,352654
10469,1999,942,1264,3,5,7,282972
17470,2014,663,1079,2,3,7,216222
11256,1908,1472,1133,1,2,5,298109
14398,2011,860,1072,3,3,4,252613
15720,2022,1084,1039,3,5,9,278286
6169,1935,1642,1096,3,5,10,335611
5830,2001,1352,883,2,4,7,303529
6651,1939,1510,201,1,3,11,236944
6136,2022,1718,92,3,2,3,254529
7810,1992,1523,1056,3,4,5,325351
13667,1923,740,418,3,4,10,172493
16002,1947,1165,1226,1,3,7,290212
14518,1962,1064,550,2,3,4,214028
18258,1968,1665,625,2,4,11,299152
6019,1952,1331,844,3,4,3,258978
10237,1953,1475,881,3,4,5,279582
15028,1941,530,719,2,1,6,161044
17448,2018,722,1335,2,4,9,263783
15640,1944,765,943,2,5,6,221390
17485,1989,1805,1492,3,2,4,384914
6283,1913,1287,393,3,2,4,217525
5659,2002,880,808,2,3,3,212091
19063,1928,1055,871,2,4,9,256816
18358,2015,561,1234,1,2,11,222818
7010,1905,1212,866,3,2,4,254176
13590,1906,1346,570,1,5,9,270011
6733,1936,1020,1179,2,5,10,276358
18870,1952,1594,633,3,1,5,272771
7125,1917,1101,631,3,1,6,221694
7171,1986,639,808,1,2,11,202249
13266,2007,1839,321,1,3,6,285472
19472,1937,1863,1458,1,2,8,395821
17889,1958,1089,573,1,3,10,211445
8471,1900,1027,1063,3,2,4,249758
14028,1967,1040,1063,2,5,3,259295
10624,2014,1939,1476,2,4,9,415947
13691,1943,1990,869,2,2,3,342774
18884,1946,874,1213,1,1,6,260138
13329,1934,790,745,2,3,7,233067
7097,1986,542,1038,1,3,4,183210
19082,1990,1576,1147,1,2,6,333443
10068,1959,1755,1303,2,3,9,386982
18930,1989,1735,936,2,1,6,321561
16888,1951,507,958,2,5,3,179824
15077,1907,982,47,3,4,6,152308
11397,2006,541,188,1,4,8,122319
19316,1979,832,303,3,3,7,173825
7757,1940,1756,1128,2,2,6,362475
8920,1902,1593,368,3,3,4,281313
13186,1995,1539,459,3,1,8,269959
6900,1968,568,246,2,2,8,125865
7610,1983,552,263,2,5,8,124326
11900,1913,1184,1229,1,1,6,292774
17178,1995,1493,529,1,5,10,242783
6449,1925,1902,1387,3,2,3,389893
13738,2010,1986,749,2,5,10,337578
10017,1969,1026,1363,1,1,10,284148
17868,2022,562,406,1,1,7,138121
18660,1957,760,452,3,3,11,199864
12999,1999,1644,813,3,2,11,297781
11052,1939,1357,577,3,4,6,271909
15195,1950,1763,964,2,4,4,335200
7096,2022,1988,1173,1,5,3,381586
13895,1904,1630,1216,1,4,10,362807
11404,1976,679,146,1,4,10,131673
15595,1931,1539,405,3,1,9,253627
14817,1979,854,182,2,1,5,137944
8331,1900,1433,1129,3,1,5,304415
17925,1976,1832,235,3,4,10,291675
12462,1953,1226,637,2,5,10,268417
10105,1910,1088,957,2,2,4,258856
7978,1952,1104,178,3,3,3,181223
17928,1907,680,431,2,5,3,149114
7839,1924,673,1424,3,1,3,250194
8384,1939,853,524,1,5,5,202774
15851,1931,853,742,2,2,3,189254
15053,1987,1742,322,1,1,10,276743
16048,1927,1838,1284,2,2,10,389230
18493,1977,933,398,3,3,11,190525
5685,2008,1404,336,3,5,6,246503
19139,1902,781,1323,3,3,10,265854
12531,1999,758,118,3,4,9,139083
9283,1990,1367,412,3,5,6,237495
12736,1983,1058,579,3,4,3,210651
12710,2010,504,1407,2,2,5,215474
6619,1978,1095,304,2,4,10,223333
18975,1961,893,195,1,2,10,148127
18272,1926,835,332,2,3,4,176001
17835,2016,562,1043,2,1,9,206566
11868,1944,543,622,1,3,3,130231
6431,2004,652,657,1,4,6,164632
14067,1991,1353,703,3,2,9,275081
9713,1924,1679,1456,1,4,6,369381
15653,2005,774,882,1,1,6,203006
14557,1960,1881,1449,2,5,9,394960
14435,1943,925,1252,3,5,3,272755
9998,2009,982,523,1,5,7,202913
5162,1996,713,216,3,4,8,169203
6974,1945,578,989,3,5,9,209531
8291,1913,638,374,1,2,9,150077
13461,1907,1449,35,1,1,9,216395
5631,1947,597,775,1,3,4,181961
5905,1913,1163,27,1,2,8,180748
16663,1964,697,1395,3,1,11,262419
16445,1979,1284,85,2,3,9,203884
7014,1981,655,187,3,5,9,139414
14833,1906,1573,304,3,3,4,257076
12896,1978,978,765,3,4,9,227896
5204,1987,727,1445,1,4,11,262761
5581,1948,1980,79,1,5,5,295997
10675,2014,1021,185,2,5,4,183507
14032,1954,648,1028,2,2,8,196950
19124,1912,1581,557,2,2,4,273010
10347,1972,661,508,3,4,3,153189
14911,1955,1362,970,2,1,6,292338
18930,1955,1630,1025,3,2,11,344935
7643,1914,1950,216,1,1,5,275690
13017,1956,894,256,3,4,5,163485
7297,1957,1300,1476,1,2,8,345162
5874,1934,685,1447,1,1,8,244358
10560,1987,1057,323,2,1,10,194497
19531,1996,945,196,1,2,8,157864
5689,1915,1329,503,2,5,10,240874
9000,1907,1971,1295,2,3,10,401636
19298,1992,586,693,2,5,9,165657
16333,1986,1772,958,3,3,7,352241
19974,1944,1963,17,2,1,6,256021
14614,1994,1780,106,2,2,3,242753
19289,1939,1800,124,1,4,8,267706
5671,2012,937,482,3,2,10,195582
12927,1953,1015,1027,2,5,6,239655
6171,2018,1446,626,2,3,9,276670
10591,1913,1725,350,2,2,5,261183
16918,1958,1255,350,1,3,7,210277
14135,2016,1296,648,1,5,9,263858
11342,1993,1703,900,1,5,11,326379
6449,1952,1185,227,2,2,11,206372
16929,2002,824,15,2,4,9,140835
7539,1926,1122,424,2,4,6,210639
8959,1946,1186,463,2,3,8,221035
18183,1979,1998,723,2,2,6,342470
11285,2014,899,1269,1,1,5,259118
10432,1905,1367,793,2,5,11,273061
9260,1954,716,176,3,3,7,149237
7361,1996,1308,542,2,5,10,252677
11164,1943,1460,508,1,3,5,232967
18393,1917,1976,563,2,2,11,329334
16844,1915,1500,232,3,3,3,223006
8670,1911,1927,1061,2,3,4,375156
6753,1919,1431,490,3,1,6,236341
13100,1944,739,1016,3,3,4,224269
15544,1963,1709,443,1,4,11,290695
6938,2003,547,19,3,3,9,113378
13562,1958,1909,110,2,3,4,273585
10976,1992,1731,486,3,2,6,284246
18140,1993,1680,88,2,3,8,233756
17671,1989,1748,1342,2,1,4,343871
15123,1921,1667,1141,2,2,11,353696
11588,1996,1942,433,2,5,5,305900
13616,2021,1634,1262,1,4,4,358987
11304,2016,1374,71,2,4,6,212216
12345,2002,1988,821,1,5,7,368594
17916,1946,631,1422,3,3,6,239097
12875,1928,1124,815,2,1,5,229732
14086,1985,1100,403,3,1,5,204773
11633,1944,1172,250,1,1,5,196989
19662,1976,833,868,2,1,5,233961
5597,1908,1598,1218,2,3,8,352872
8062,1923,1935,867,1,5,6,351198
7336,1914,535,1245,3,5,9,245259
17880,1935,1277,1205,1,4,9,302549
14879,1912,722,895,3,5,6,210225
5572,1990,1029,255,3,1,3,178727
12521,1943,740,1111,3,3,11,252950
11171,2000,633,872,2,2,9,196748
12097,1970,890,491,1,2,8,174476
7090,1971,601,335,2,1,7,142710
